Gene Name,SynH_Exp_BXHU,SynH_Stat1_CUOC,log2change,counts_change,binned,Threshold where |count difference| is,Threshold of 2^n where n is
pepE,2509,1372,-0.8708319892363603,-1137,Unchanged,100000,3
yjbB,443,2954,2.737291222209771,2511,Unchanged,100000,3
metH,13700,9762,-0.4889272363415674,-3938,Unchanged,100000,3
iclR,1078,1486,0.4630769377860907,408,Unchanged,100000,3
arpA,24,1138,5.567322341585426,1114,Upregulated,100000,3
aceK,4932,4807,-0.03703599626494348,-125,Unchanged,100000,3
aceA,39373,30142,-0.38543149521528347,-9231,Unchanged,100000,3
aceB,48476,32756,-0.5655114666724081,-15720,Unchanged,100000,3
metA,6858,1375,-2.31835628563625,-5483,Unchanged,100000,3
yjaB,112,468,2.0630097975258006,356,Unchanged,100000,3
yjaA,13,288,4.46948528330122,275,Upregulated,100000,3
purH,11038,4174,-1.4029762850318608,-6864,Unchanged,100000,3
purD,6179,2666,-1.2126965930140288,-3513,Unchanged,100000,3
zraR,567,2598,2.1959807905056525,2031,Unchanged,100000,3
zraS,213,2435,3.5149964367438664,2222,Upregulated,100000,3
zraP,319,591,0.8896017064126631,272,Unchanged,100000,3
yjaH,570,1236,1.1166449188522707,666,Unchanged,100000,3
hupA,5686,487,-3.5454204215951854,-5199,Downregulated,100000,3
yjaG,1224,1253,0.033782856629208644,29,Unchanged,100000,3
nfi,1213,1625,0.42186016768266893,412,Unchanged,100000,3
hemE,3464,2625,-0.40012150728587764,-839,Unchanged,100000,3
nudC,1125,1230,0.12873331412220274,105,Unchanged,100000,3
rsd,379,476,0.32876372513685176,97,Unchanged,100000,3
thiC,591,3711,2.6505779655199935,3120,Unchanged,100000,3
thiE,139,918,2.7234092706903006,779,Unchanged,100000,3
thiF,187,906,2.276472780158598,719,Unchanged,100000,3
thiG,156,1144,2.8744691179161412,988,Unchanged,100000,3
thiH,228,1708,2.9052022454557487,1480,Unchanged,100000,3
yjaZ,84,404,2.2658940599730344,320,Unchanged,100000,3
rpoC,116263,31573,-1.880628786716989,-84690,Unchanged,100000,3
rpoB,100349,30032,-1.7404537796026385,-70317,Unchanged,100000,3
rplL,47998,10674,-2.1688733758491825,-37324,Unchanged,100000,3
rplJ,38001,8268,-2.2004270898396565,-29733,Unchanged,100000,3
rplA,44628,10175,-2.132920359292172,-34453,Unchanged,100000,3
rplK,16587,2793,-2.5701654987930755,-13794,Unchanged,100000,3
nusG,7247,1625,-2.156944176181562,-5622,Unchanged,100000,3
secE,4402,956,-2.203076621910809,-3446,Unchanged,100000,3
tufB,124091,9085,-3.771768159629583,-115006,Downregulated,100000,3
coaA,1280,570,-1.1671099858352583,-710,Unchanged,100000,3
birA,972,1054,0.11684664803143371,82,Unchanged,100000,3
murB,1710,1051,-0.7022336558110819,-659,Unchanged,100000,3
murI,1263,1275,0.01364260795866807,12,Unchanged,100000,3
btuB,5171,2278,-1.1826755577752772,-2893,Unchanged,100000,3
trmA,2850,1745,-0.7077348828424518,-1105,Unchanged,100000,3
yijD,1185,541,-1.1311865599588062,-644,Unchanged,100000,3
fabR,1822,1364,-0.41767931477787823,-458,Unchanged,100000,3
sthA,1523,3118,1.0337049862104926,1595,Unchanged,100000,3
oxyR,3882,2868,-0.436755094011759,-1014,Unchanged,100000,3
argH,2694,6244,1.2127206865156057,3550,Unchanged,100000,3
argB,873,2858,1.7109523574663763,1985,Unchanged,100000,3
argC,1060,4182,1.9801287971390178,3122,Unchanged,100000,3
argE,1712,2751,0.6842734379150636,1039,Unchanged,100000,3
ppc,57960,21570,-1.4260314183964753,-36390,Unchanged,100000,3
eptC,2362,2543,0.10652249729294909,181,Unchanged,100000,3
yijO,313,1320,2.0763033673131974,1007,Unchanged,100000,3
frwD,15,370,4.624490864907794,355,Upregulated,100000,3
pflC,71,1403,4.3045521741152175,1332,Upregulated,100000,3
pflD,215,3525,4.0352146925840575,3310,Upregulated,100000,3
frwB,15,292,4.282933963271499,277,Upregulated,100000,3
frwC,24,1926,6.3264294871223035,1902,Upregulated,100000,3
ptsA,64,5236,6.354249381945241,5172,Upregulated,100000,3
fsaB,58,1113,4.262256882214388,1055,Upregulated,100000,3
gldA,4373,3057,-0.5165067961942377,-1316,Unchanged,100000,3
yijF,41,1245,4.924378022337359,1204,Upregulated,100000,3
yijE,232,2071,3.15813084309294,1839,Upregulated,100000,3
katG,12988,8272,-0.6508711989711533,-4716,Unchanged,100000,3
metF,9695,1797,-2.431650489484213,-7898,Unchanged,100000,3
metL,6845,6356,-0.10693141679674281,-489,Unchanged,100000,3
metB,3035,2976,-0.028321990035013005,-59,Unchanged,100000,3
metJ,1479,629,-1.2334901302197785,-850,Unchanged,100000,3
yiiX,291,1184,2.024578022720666,893,Unchanged,100000,3
rpmE,2756,248,-3.474163862317416,-2508,Downregulated,100000,3
priA,1969,5388,1.4522867395607493,3419,Unchanged,100000,3
cytR,1719,2338,0.4437053850535952,619,Unchanged,100000,3
ftsN,3531,2793,-0.33826124747965053,-738,Unchanged,100000,3
hslV,1400,1369,-0.03230438057442922,-31,Unchanged,100000,3
hslU,6710,4604,-0.5434249329553156,-2106,Unchanged,100000,3
menA,336,1485,2.143929792909368,1149,Unchanged,100000,3
rraA,3976,1609,-1.30515343083884,-2367,Unchanged,100000,3
zapB,2193,353,-2.6351657234024133,-1840,Unchanged,100000,3
glpF,859,2218,1.3685293290232465,1359,Unchanged,100000,3
glpK,3569,5846,0.71192992775703,2277,Unchanged,100000,3
glpX,1094,1723,0.6553099634323917,629,Unchanged,100000,3
fpr,1073,1284,0.2589951263657812,211,Unchanged,100000,3
uspD,2255,405,-2.4771336203707564,-1850,Unchanged,100000,3
yiiS,752,232,-1.6966078565500653,-520,Unchanged,100000,3
